 Nascidos vivos - Paraná
Nascim p/resid.mãe por Município
Período:2016
"Município";"Nascim_p/resid.mãe"
"411640 Nossa Senhora das Graças";61
"411650 Nova Aliança do Ivaí";25
"411660 Nova América da Colina";33
"411670 Nova Aurora";131
"411680 Nova Cantu";94
"411690 Nova Esperança";323
"411695 Nova Esperança do Sudoeste";69
"411700 Nova Fátima";87
"411705 Nova Laranjeiras";159
"411710 Nova Londrina";157
"411720 Nova Olímpia";76
"411725 Nova Prata do Iguaçu";119
"411721 Nova Santa Bárbara";55
"411722 Nova Santa Rosa";134
"411727 Nova Tebas";81
"411729 Novo Itacolomi";36
"411730 Ortigueira";372
"411740 Ourizona";44
"411745 Ouro Verde do Oeste";72
"411750 Paiçandu";625
"411760 Palmas";890
"411770 Palmeira";442
"411780 Palmital";192
"411790 Palotina";453
"411800 Paraíso do Norte";167
"411810 Paranacity";145
"411820 Paranaguá";2156
"411830 Paranapoema";38
"411840 Paranavaí";1269
"411845 Pato Bragado";64
"411850 Pato Branco";1300
"411860 Paula Freitas";76
"411870 Paulo Frontin";86
"411880 Peabiru";167
"411885 Perobal";87
"411890 Pérola";143
"411900 Pérola d'Oeste";66
"411910 Piên";163
"411915 Pinhais";2095
"411925 Pinhal de São Bento";31
"411920 Pinhalão";108
"411930 Pinhão";518
"411940 Piraí do Sul";365
"411950 Piraquara";1543
"411960 Pitanga";440
"411965 Pitangueiras";32
"411970 Planaltina do Paraná";59
"411980 Planalto";127
"411990 Ponta Grossa";5340
"411995 Pontal do Paraná";365
"412000 Porecatu";168
"412010 Porto Amazonas";52
"412015 Porto Barreiro";44
"412020 Porto Rico";36
"412030 Porto Vitória";44
"412033 Prado Ferreira";58
"412035 Pranchita";65
"412040 Presidente Castelo Branco";64
"412050 Primeiro de Maio";112
"412060 Prudentópolis";681
"412065 Quarto Centenário";47
"412070 Quatiguá";91
"412080 Quatro Barras";332
"412085 Quatro Pontes";51
"412090 Quedas do Iguaçu";464
"412100 Querência do Norte";180
"412110 Quinta do Sol";56
"412120 Quitandinha";232
"412125 Ramilândia";64
"412130 Rancho Alegre";43
"412135 Rancho Alegre D'Oeste";17
"412140 Realeza";240
"412150 Rebouças";215
"412160 Renascença";103
"412170 Reserva";398
"412175 Reserva do Iguaçu";106
"412180 Ribeirão Claro";151
"412190 Ribeirão do Pinhal";199
"412200 Rio Azul";189
"412210 Rio Bom";35
"412215 Rio Bonito do Iguaçu";259
"412217 Rio Branco do Ivaí";67
"412220 Rio Branco do Sul";606
"412230 Rio Negro";366
"412240 Rolândia";883
"412250 Roncador";162
"412260 Rondon";117
"412265 Rosário do Ivaí";60
"412270 Sabáudia";115
"412280 Salgado Filho";60
"412290 Salto do Itararé";51
"412300 Salto do Lontra";167
"412310 Santa Amélia";44
"412320 Santa Cecília do Pavão";44
"412330 Santa Cruz de Monte Castelo";107
"412340 Santa Fé";137
"412350 Santa Helena";328
"412360 Santa Inês";25
"412370 Santa Isabel do Ivaí";121
"412380 Santa Izabel do Oeste";166
"412382 Santa Lúcia";53
"412385 Santa Maria do Oeste";138
"412390 Santa Mariana";132
"412395 Santa Mônica";55
"412402 Santa Tereza do Oeste";192
"412405 Santa Terezinha de Itaipu";302
"412400 Santana do Itararé";58
"412410 Santo Antônio da Platina";673
"412420 Santo Antônio do Caiuá";31
"412430 Santo Antônio do Paraíso";21
"412440 Santo Antônio do Sudoeste";271
"412450 Santo Inácio";96
"412460 São Carlos do Ivaí";91
"412470 São Jerônimo da Serra";130
"412480 São João";142
"412490 São João do Caiuá";89
"412500 São João do Ivaí";141
"412510 São João do Triunfo";177
"412520 São Jorge d'Oeste";131
"412530 São Jorge do Ivaí";50
"412535 São Jorge do Patrocínio";77
"412540 São José da Boa Vista";66
"412545 São José das Palmeiras";52
"412550 São José dos Pinhais";4875
"412555 São Manoel do Paraná";26
"412560 São Mateus do Sul";575
"412570 São Miguel do Iguaçu";437
"412575 São Pedro do Iguaçu";78
"412580 São Pedro do Ivaí";115
"412590 São Pedro do Paraná";29
"412600 São Sebastião da Amoreira";113
"412610 São Tomé";81
"412620 Sapopema";84
"412625 Sarandi";1520
"412627 Saudade do Iguaçu";104
"412630 Sengés";250
"412635 Serranópolis do Iguaçu";73
"412640 Sertaneja";64
"412650 Sertanópolis";177
"412660 Siqueira Campos";287
"412665 Sulina";35
"412667 Tamarana";194
"412670 Tamboara";58
"412680 Tapejara";194
"412690 Tapira";57
"412700 Teixeira Soares";121
"412710 Telêmaco Borba";1195
"412720 Terra Boa";240
"412730 Terra Rica";216
"412740 Terra Roxa";223
"412750 Tibagi";299
"412760 Tijucas do Sul";214
"412770 Toledo";2056
"412780 Tomazina";78
"412785 Três Barras do Paraná";168
"412788 Tunas do Paraná";132
"412790 Tuneiras do Oeste";98
"412795 Tupãssi";81
"412796 Turvo";227
"412800 Ubiratã";285
"412810 Umuarama";1471
"412820 União da Vitória";758
"412830 Uniflor";24
"412840 Uraí";116
"412853 Ventania";133
"412855 Vera Cruz do Oeste";107
"412860 Verê";102
"412865 Virmond";60
"412870 Vitorino";128
"412850 Wenceslau Braz";248
"412880 Xambrê";65
"Total";155066
 Fonte: MS/SVS/DASIS - Sistema de Informações sobre Nascidos Vivos - SINASC
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
 Nota:
 
 Em 2011, houve uma mudança no conteúdo da Declaração de Nascidos Vivos, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Consolidação do Sistema de Informações sobre Nascidos Vivos - 2011".
