Localidade;IPDM_EmpRenda;Renda_PC;IPDM_Saude;IDHM_Long;IDHM_Educ
Engenheiro Beltrão;0,4526;607,60;0,7724;0,82;0,677
Entre Rios do Oeste;0,5359;1010,09;0,7943;0,826;0,686
Esperança Nova;0,4103;576,61;0,6994;0,799;0,594
Espigão Alto do Iguaçu;0,3511;403,07;0,5427;0,781;0,521
Farol;0,3623;516,93;0,8672;0,818;0,665
Faxinal;0,395;605,96;0,5807;0,796;0,584
Fazenda Rio Grande;0,4177;639,89;0,6729;0,847;0,617
Fênix;0,3896;503,40;0,7558;0,825;0,665
Fernandes Pinheiro;0,3829;438,60;0,7235;0,791;0,525
Figueira;0,4578;535,43;0,5414;0,801;0,569
Flor da Serra do Sul;0,3762;548,97;0,8477;0,833;0,56
Floraí;0,4453;790,96;0,9437;0,853;0,656
Floresta;0,4144;645,15;0,7696;0,816;0,691
Florestópolis;0,5123;553,45;0,7461;0,807;0,625
Flórida;0,4204;652,50;0,8572;0,816;0,679
Formosa do Oeste;0,3886;588,65;0,9479;0,836;0,652
Foz do Iguaçu;0,5695;804,18;0,728;0,858;0,661
Foz do Jordão;0,3966;456,22;0,6318;0,828;0,496
Francisco Alves;0,356;506,60;0,7317;0,786;0,57
Francisco Beltrão;0,5575;879,66;0,814;0,844;0,726
General Carneiro;0,4054;415,91;0,5856;0,816;0,532
Godoy Moreira;0,3007;431,35;0,9612;0,828;0,578
Goioerê;0,4279;689,61;0,7384;0,85;0,639
Goioxim;0,3404;316,22;0,6094;0,813;0,547
Grandes Rios;0,2998;451,75;0,643;0,799;0,55
Guaíra;0,4512;767,72;0,4204;0,836;0,615
Guairaçá;0,3935;613,59;0,7065;0,829;0,574
Guamiranga;0,3901;474,80;0,7271;0,804;0,568
Guapirama;0,3635;497,32;0,6333;0,805;0,645
Guaporema;0,4172;570,51;0,8565;0,808;0,671
Guaraci;0,3758;589,84;0,7508;0,821;0,598
Guaraniaçu;0,3854;604,51;0,791;0,841;0,528
Guarapuava;0,5716;737,01;0,6483;0,853;0,628
Guaraqueçaba;0,3514;304,67;0,5259;0,792;0,434
Guaratuba;0,4182;682,24;0,5107;0,828;0,604
Honório Serpa;0,4291;434,70;0,8514;0,807;0,612
Ibaiti;0,4686;780,26;0,7458;0,813;0,596
Ibema;0,3988;492,25;0,7687;0,786;0,615
Ibiporã;0,4806;684,29;0,8408;0,821;0,647
Icaraíma;0,3978;521,02;0,8557;0,792;0,554
Iguaraçu;0,4466;650,69;0,8726;0,833;0,732
Iguatu;0,3452;520,34;0,724;0,812;0,637
Imbaú;0,4541;414,83;0,5841;0,785;0,481
Imbituva;0,4271;518,76;0,6922;0,828;0,509
Inácio Martins;0,3563;377,59;0,6729;0,765;0,454
Inajá;0,384;526,28;0,4571;0,807;0,641
Indianópolis;0,4525;648,13;0,6796;0,835;0,642
Ipiranga;0,3783;558,86;0,6198;0,828;0,489
Iporã;0,4028;606,62;0,7889;0,829;0,611
Iracema do Oeste;0,41;518,30;0,669;0,836;0,63
Irati;0,4692;675,85;0,7191;0,835;0,64
Iretama;0,3761;605,35;0,8257;0,811;0,521
Itaguajé;0,3125;520,16;0,6964;0,791;0,664
Itaipulândia;0,4657;1011,20;0,8913;0,848;0,608
Itambaracá;0,3638;496,67;0,6558;0,789;0,639
Itambé;0,4048;581,21;0,9006;0,854;0,703
Itapejara d'Oeste;0,4208;668,15;0,4433;0,828;0,661
Itaperuçu;0,404;458,09;0,4865;0,779;0,507
Itaúna do Sul;0,3811;448,99;0,4454;0,798;0,543
Ivaí;0,3589;463,98;0,4626;0,791;0,534
Ivaiporã;0,4255;653,73;0,7154;0,827;0,661
Ivaté;0,5775;553,21;0,8145;0,803;0,641
Ivatuba;0,4556;685,35;0,9622;0,837;0,748
Jaboti;0,3323;617,81;0,9575;0,827;0,64
Jacarezinho;0,5255;756,67;0,7325;0,844;0,663
Jaguapitã;0,5862;677,19;0,7158;0,834;0,615
Jaguariaíva;0,5664;603,84;0,5332;0,859;0,684
Jandaia do Sul;0,509;788,40;0,6905;0,801;0,703
Janiópolis;0,4019;571,73;0,8632;0,826;0,593
Japira;0,3457;530,34;0,836;0,827;0,603
Japurá;0,4246;613,47;0,8426;0,829;0,623
Jardim Alegre;0,3992;502,50;0,2725;0,827;0,569
Jardim Olinda;0,4234;510,46;0,8992;0,791;0,6
Jataizinho;0,4012;493,63;0,7608;0,845;0,574
Jesuítas;0,3747;544,66;0,9219;0,839;0,615
Joaquim Távora;0,4905;613,68;0,7531;0,801;0,613
